iter	Logloss
0	0.6757477944
1	0.662206835
2	0.6443709911
3	0.6323809575
4	0.6190724582
5	0.6033704378
6	0.5933371405
7	0.581954662
8	0.566693266
9	0.5586997614
10	0.5484305078
11	0.5404200239
12	0.5359052879
13	0.529925607
14	0.524506326
15	0.5204458612
16	0.5161358042
17	0.5107361921
18	0.5049504285
19	0.5012266271
20	0.4964699164
21	0.4936587566
22	0.489237141
23	0.4865660006
24	0.4849193091
25	0.4829492122
26	0.480237628
27	0.4773132508
28	0.474337823
29	0.4710661114
30	0.4680094994
31	0.4655428441
32	0.4621775045
33	0.4607895702
34	0.4591883082
35	0.4574291814
36	0.4548210952
37	0.4527472589
38	0.4507785869
39	0.4493578771
40	0.4482574198
41	0.446490839
42	0.4451902262
43	0.4436525735
44	0.4419626014
45	0.4405221786
46	0.4400133998
47	0.438918396
48	0.4374674718
49	0.436036533
50	0.4356645598
51	0.4338559394
52	0.4333536837
53	0.4326254388
54	0.4318841826
55	0.4304561125
56	0.4289267665
57	0.4277464491
58	0.4271108771
59	0.4263245477
60	0.4247522455
61	0.4237421133
62	0.4227990264
63	0.42130011
64	0.4201964523
65	0.4192258854
66	0.418372499
67	0.4172663517
68	0.416342472
69	0.4153781822
70	0.4142729782
71	0.4134731692
72	0.4126167391
73	0.4117379217
74	0.4108455572
75	0.4096881091
76	0.4089193747
77	0.4079684284
78	0.4068473318
79	0.4063518031
80	0.4048893296
81	0.4038740749
82	0.4033937688
83	0.4020334329
84	0.4014300728
85	0.4007532701
86	0.4003020678
87	0.3999786265
88	0.3989080216
89	0.3983554021
90	0.3981371956
91	0.3977109927
92	0.3972188685
93	0.3967076036
94	0.3960856655
95	0.3959217513
96	0.3949598787
97	0.3942397307
98	0.3939130105
99	0.3935560254
100	0.3928271801
101	0.3920136159
102	0.3914583333
103	0.3913437745
104	0.390950853
105	0.3900799124
106	0.3898498343
107	0.3892784571
108	0.3887478716
109	0.3881220891
110	0.3875288555
111	0.3870349277
112	0.3865358702
113	0.3859788742
114	0.3853511597
115	0.3848470762
116	0.384294232
117	0.3833142028
118	0.382692167
119	0.3820487375
120	0.3817293531
121	0.3814556903
122	0.3809118606
123	0.3802455117
124	0.3795512408
125	0.3789658407
126	0.3780724201
127	0.3778791997
128	0.3773173457
129	0.376717499
130	0.376416744
131	0.375200254
132	0.3748138714
133	0.3745737138
134	0.3740287938
135	0.3733594025
136	0.3728082857
137	0.3720162196
138	0.3712463054
139	0.3705509973
140	0.3697220132
141	0.3695022121
142	0.3687946628
143	0.3680692697
144	0.3668647304
145	0.3662679526
146	0.3658369937
147	0.3650580221
148	0.3645276718
149	0.3638615179
150	0.3628013233
151	0.362075214
152	0.3610114524
153	0.3605297334
154	0.360179421
155	0.3596648431
156	0.3590170159
157	0.3588022195
158	0.358341823
159	0.3575952526
160	0.3570436206
161	0.3565893888
162	0.3557116534
163	0.3551158678
164	0.3548228882
165	0.3546020374
166	0.3538643306
167	0.3531664048
168	0.3527862066
169	0.3522070018
170	0.3514530281
171	0.3507061228
172	0.3499011707
173	0.349356018
174	0.3492337512
175	0.3482209733
176	0.3474687127
177	0.3469908897
178	0.346358007
179	0.3459052427
180	0.3451367574
181	0.3449676859
182	0.3442406257
183	0.3437563921
184	0.3430677994
185	0.342976423
186	0.3425339873
187	0.3423897472
188	0.3418691858
189	0.3412029644
190	0.3410427849
191	0.340618898
192	0.3400193116
193	0.339278992
194	0.3385340303
195	0.3379145531
196	0.3377923587
197	0.3368309661
198	0.3360451731
199	0.3357545448
200	0.3351128995
201	0.3346431831
202	0.3342339601
203	0.3337877244
204	0.3331391147
205	0.3325873239
206	0.3323442199
207	0.331989588
208	0.3313803785
209	0.3306208742
210	0.3302100963
211	0.3299808531
212	0.3294073316
213	0.3290556789
214	0.3283230944
215	0.3278099992
216	0.3273725533
217	0.3267596569
218	0.3266324673
219	0.3254136981
220	0.3248676703
221	0.3244013606
222	0.3232772626
223	0.3229861114
224	0.3226884464
225	0.3226233554
226	0.3221822659
227	0.3214908363
228	0.320830727
229	0.3201331515
230	0.319140165
231	0.3186240235
232	0.3175443967
233	0.3174811743
234	0.3173797543
235	0.3164619578
236	0.3161540946
237	0.3156530448
238	0.3149673047
239	0.3141173442
240	0.3136442022
241	0.31320143
242	0.3126739339
243	0.3125628752
244	0.3121439428
245	0.3113868791
246	0.311049082
247	0.310667816
248	0.3102198494
249	0.3095436457
250	0.3093597286
251	0.309242749
252	0.308885792
253	0.3088345793
254	0.3081612473
255	0.3073876433
256	0.3067472789
257	0.3059070921
258	0.3058147403
259	0.3052686561
260	0.3045196225
261	0.3040872427
262	0.3039766833
263	0.3033931794
264	0.3030144374
265	0.3026581704
266	0.3021369258
267	0.301383374
268	0.3006685086
269	0.3000318653
270	0.2992180384
271	0.2984308524
272	0.2979515692
273	0.2976521052
274	0.2969340218
275	0.2965682384
276	0.2962289161
277	0.2956781242
278	0.2952787987
279	0.2949593271
280	0.2943022397
281	0.2934984469
282	0.2929473224
283	0.2926277099
284	0.2922654646
285	0.292134058
286	0.2915417685
287	0.2913496351
288	0.2910026091
289	0.2906879014
290	0.2898585337
291	0.2894499688
292	0.2890984591
293	0.2887614919
294	0.2881281515
295	0.2876250661
296	0.2866863326
297	0.2865813719
298	0.2859406103
299	0.2857941691
300	0.2854658778
301	0.2849321982
302	0.2845172803
303	0.2841992307
304	0.2834187366
305	0.2827629231
306	0.2826659239
307	0.2823486208
308	0.2822574408
309	0.2820535662
310	0.2819675643
311	0.2814425352
312	0.2809520097
313	0.2806425368
314	0.2800281841
315	0.2793519534
316	0.2790625229
317	0.2787111393
318	0.2782573603
319	0.2777173508
320	0.2773095398
321	0.2770154949
322	0.2763368304
323	0.2758506457
324	0.275700782
325	0.2750853498
326	0.2746405935
327	0.2744683436
328	0.2738543324
329	0.2736128764
330	0.2730357267
331	0.2723497422
332	0.2720604614
333	0.2717364796
334	0.2714619524
335	0.2711784593
336	0.2707947254
337	0.2703164167
338	0.2700969983
339	0.2694446562
340	0.2689265449
341	0.268853999
342	0.2688164887
343	0.2685486497
344	0.2682229815
345	0.2678669476
346	0.2676420285
347	0.2671196992
348	0.266575798
349	0.2660276062
350	0.2654766333
351	0.2650089276
352	0.2647393395
353	0.2639881907
354	0.2637809003
355	0.2630907945
356	0.2630197228
357	0.2627481618
358	0.2624500145
359	0.2622827722
360	0.2617503387
361	0.2614704954
362	0.2611262362
363	0.2604765795
364	0.2601593171
365	0.2595683858
366	0.2593125785
367	0.258772536
368	0.2582543088
369	0.2578006492
370	0.2572936622
371	0.2572450021
372	0.2565844526
373	0.255978712
374	0.2557557577
375	0.255348583
376	0.2550998067
377	0.2547509734
378	0.254659644
379	0.2539501465
380	0.2536344429
381	0.2533040964
382	0.2532588777
383	0.2526585375
384	0.2524836697
385	0.2521933802
386	0.2516156111
387	0.2513049054
388	0.251271741
389	0.2508367308
390	0.2505682263
391	0.2503208079
392	0.2497956633
393	0.2492577801
394	0.2489815092
395	0.2484629263
396	0.2484245087
397	0.2480103551
398	0.247683113
399	0.2471672326
400	0.2469371373
401	0.2465570423
402	0.2460518825
403	0.245495181
404	0.2454557628
405	0.2454206044
406	0.2446305116
407	0.244115108
408	0.2438403432
409	0.2438127308
410	0.2431252274
411	0.2426960891
412	0.2422246844
413	0.2421553468
414	0.2421257697
415	0.2417393956
416	0.2412192186
417	0.2409598812
418	0.2405411201
419	0.2402717272
420	0.2398265889
421	0.2395361203
422	0.2391535146
423	0.238759575
424	0.2383330105
425	0.2382810197
426	0.2379033837
427	0.2373638401
428	0.2367951416
429	0.2366506976
430	0.2362486432
431	0.2359989387
432	0.2359291984
433	0.2357078122
434	0.2353309011
435	0.2351104395
436	0.2346780164
437	0.2344934464
438	0.234231172
439	0.2336933194
440	0.2333287196
441	0.2332696826
442	0.2328348931
443	0.2326429894
444	0.2324626267
445	0.2322397007
446	0.2318541515
447	0.2317934936
448	0.2314187267
449	0.2313379431
450	0.2310729453
451	0.2308733882
452	0.230426253
453	0.2299785529
454	0.229948283
455	0.2293757652
456	0.2289219046
457	0.2285610346
458	0.2282683198
459	0.228191682
460	0.227746116
461	0.2273026063
462	0.2272772789
463	0.226777818
464	0.2267457861
465	0.226496886
466	0.226174767
467	0.2259242876
468	0.2252410071
469	0.2248501863
470	0.2244366138
471	0.2239720085
472	0.2236872161
473	0.2232497456
474	0.2228193353
475	0.2224251782
476	0.2221586483
477	0.221887002
478	0.2215675393
479	0.2213321422
480	0.2208443188
481	0.2207893845
482	0.2203743787
483	0.2201323544
484	0.2199529865
485	0.2197932267
486	0.219292881
487	0.2189900763
488	0.2184948999
489	0.2184146583
490	0.2180978903
491	0.2176099917
492	0.2174256852
493	0.2169542266
494	0.2167352308
495	0.215920256
496	0.2157318945
497	0.2155625995
498	0.2151555992
499	0.21483829
500	0.2144635484
501	0.2139958211
502	0.2138628235
503	0.213583721
504	0.2133662949
505	0.2131649339
506	0.2130003472
507	0.2126413605
508	0.2119005133
509	0.2116601304
510	0.2115858853
511	0.211173051
512	0.2109707514
513	0.2109445289
514	0.2104509803
515	0.2099730313
516	0.2097426321
517	0.2094548896
518	0.2090287724
519	0.2090041645
520	0.2086428065
521	0.2085200608
522	0.2081635809
523	0.207819544
524	0.2076297632
525	0.2070435191
526	0.2062397182
527	0.2057863821
528	0.2056982963
529	0.2052740066
530	0.2050791531
531	0.2048703384
532	0.204661077
533	0.2045559348
534	0.2043697221
535	0.2041565453
536	0.2039903028
537	0.2039597213
538	0.2036142578
539	0.2031388329
540	0.2028505597
541	0.2026296992
542	0.2025249113
543	0.2023138426
544	0.202163606
545	0.2014322471
546	0.201060009
547	0.200984421
548	0.2007101598
549	0.2003417666
550	0.2002187016
551	0.2001156497
552	0.1997907123
553	0.1994498656
554	0.1990296996
555	0.1990007432
556	0.1986856554
557	0.1982831339
558	0.1981140811
559	0.1979657565
560	0.1975870768
561	0.1972437839
562	0.1969176622
563	0.1966282608
564	0.1964601827
565	0.1961110809
566	0.1960046458
567	0.1957902773
568	0.1954728549
569	0.1949216804
570	0.1946237006
571	0.1942131907
572	0.193776064
573	0.1935175054
574	0.1931811263
575	0.192962895
576	0.1929436556
577	0.1928518687
578	0.1927964873
579	0.1925562893
580	0.1921534577
581	0.191974574
582	0.191469472
583	0.1911932321
584	0.1910471486
585	0.190607319
586	0.190240708
587	0.1900344643
588	0.189497874
589	0.1892232228
590	0.1890366601
591	0.1890075098
592	0.1887593145
593	0.1885419384
594	0.1882923867
595	0.1880848136
596	0.1878208769
597	0.1875530786
598	0.1874065957
599	0.1872518958
600	0.1869754101
601	0.1868034429
602	0.1865296414
603	0.1860359207
604	0.185800785
605	0.1852994961
606	0.1852459423
607	0.1850871737
608	0.1848250288
609	0.1846494512
610	0.1845932499
611	0.1844018087
612	0.1843220951
613	0.1841489997
614	0.1840603321
615	0.1840265072
616	0.1839150696
617	0.183708213
618	0.1835360263
619	0.1835234809
620	0.1832385005
621	0.182853836
622	0.1826493942
623	0.1825996891
624	0.1825815038
625	0.182427889
626	0.1822337135
627	0.1820091647
628	0.1817331806
629	0.1817174152
630	0.1813611666
631	0.1809686765
632	0.1808340627
633	0.180502186
634	0.1804581696
635	0.1803171511
636	0.1798145034
637	0.1797180517
638	0.1795980236
639	0.1794056303
640	0.1791819879
641	0.1789953395
642	0.1788359851
643	0.1785270396
644	0.1785055378
645	0.178346216
646	0.1783054542
647	0.1782535782
648	0.1780608825
649	0.177779164
650	0.1774695699
651	0.1771761584
652	0.1768748489
653	0.1768586934
654	0.1765630691
655	0.1762895258
656	0.1761204239
657	0.1758062936
